etiq_original,nom_original,nom_sim,clasificacion,etiqueta_sim,etiq_sim_hemis
11139,ctx_lh_Lat_Fis-ant-Horizont,lh_Lat_Fis,1,1,1
11140,ctx_lh_Lat_Fis-ant-Vertical,lh_Lat_Fis,1,1,1
11141,ctx_lh_Lat_Fis-post,lh_Lat_Fis,1,1,1
11145,ctx_lh_S_calcarine,lh_calcarine,1,2,2
11146,ctx_lh_S_central,lh_central,1,3,3
11147,ctx_lh_S_cingul-Marginalis,lh_cingul-Marginalis,2,6,6
11148,ctx_lh_S_circular_insula_ant,lh_circular_insula,2,7,7
11149,ctx_lh_S_circular_insula_inf,lh_circular_insula,2,7,7
11150,ctx_lh_S_circular_insula_sup,lh_circular_insula,2,7,7
11151,ctx_lh_S_collat_transv_ant,lh_collateral,2,8,8
11152,ctx_lh_S_collat_transv_post,lh_collateral,2,8,8
11153,ctx_lh_S_front_inf,lh_front_inf,2,9,9
11154,ctx_lh_S_front_middle,lh_front_med,2,10,10
11155,ctx_lh_S_front_sup,lh_front_sup,2,11,11
11156,ctx_lh_S_interm_prim-Jensen,lh_prim-Jensen,2,12,12
11157,ctx_lh_S_intrapariet_and_P_trans,lh_intrapariet_and_P_trans,2,13,13
11158,ctx_lh_S_oc_middle_and_Lunatus,lh_oc_middle_and_Lunatus,2,14,14
11159,ctx_lh_S_oc_sup_and_transversal,lh_oc_sup_and_transversal,2,15,15
11160,ctx_lh_S_occipital_ant,lh_occipital,2,16,16
11161,ctx_lh_S_oc-temp_lat,lh_occipital,2,16,16
11162,ctx_lh_S_oc-temp_med_and_Lingual,lh_oc-temp_med_and_Lingual,2,17,17
11163,ctx_lh_S_orbital_lateral,lh_orbital_lateral,2,18,18
11164,ctx_lh_S_orbital_med-olfact,lh_orbital_med-olfact-H,2,19,19
11165,ctx_lh_S_orbital-H_Shaped,lh_orbital_med-olfact-H,2,19,19
11166,ctx_lh_S_parieto_occipital,lh_parieto_occipital,1,4,4
11167,ctx_lh_S_pericallosal,lh_pericallosal,1,5,5
11168,ctx_lh_S_postcentral,lh_postcentral,2,20,20
11169,ctx_lh_S_precentral-inf-part,lh_precentral,2,21,21
11170,ctx_lh_S_precentral-sup-part,lh_precentral,2,21,21
11171,ctx_lh_S_suborbital,lh_suborbital,2,22,22
11172,ctx_lh_S_subparietal,lh_subparietal,2,23,23
11173,ctx_lh_S_temporal_inf,lh_temporal,2,24,24
11174,ctx_lh_S_temporal_sup,lh_temporal,2,24,24
11175,ctx_lh_S_temporal_transverse,lh_temporal,2,24,24
12139,ctx_rh_Lat_Fis-ant-Horizont,rh_Lat_Fis,1,25,1
12140,ctx_rh_Lat_Fis-ant-Vertical,rh_Lat_Fis,1,25,1
12141,ctx_rh_Lat_Fis-post,rh_Lat_Fis,1,25,1
12145,ctx_rh_S_calcarine,rh_calcarine,1,26,2
12146,ctx_rh_S_central,rh_central,1,27,3
12147,ctx_rh_S_cingul-Marginalis,rh_cingul-Marginalis,2,30,6
12148,ctx_rh_S_circular_insula_ant,rh_circular_insula,2,31,7
12149,ctx_rh_S_circular_insula_inf,rh_circular_insula,2,31,7
12150,ctx_rh_S_circular_insula_sup,rh_circular_insula,2,31,7
12151,ctx_rh_S_collat_transv_ant,rh_collateral,2,32,8
12152,ctx_rh_S_collat_transv_post,rh_collateral,2,32,8
12153,ctx_rh_S_front_inf,rh_front_inf,2,33,9
12154,ctx_rh_S_front_middle,rh_front_med,2,34,10
12155,ctx_rh_S_front_sup,rh_front_sup,2,35,11
12156,ctx_rh_S_interm_prim-Jensen,rh_prim-Jensen,2,36,12
12157,ctx_rh_S_intrapariet_and_P_trans,rh_intrapariet_and_P_trans,2,37,13
12158,ctx_rh_S_oc_middle_and_Lunatus,rh_oc_middle_and_Lunatus,2,38,14
12159,ctx_rh_S_oc_sup_and_transversal,rh_oc_sup_and_transversal,2,39,15
12160,ctx_rh_S_occipital_ant,rh_occipital,2,40,16
12161,ctx_rh_S_oc-temp_lat,rh_occipital,2,40,16
12162,ctx_rh_S_oc-temp_med_and_Lingual,rh_oc-temp_med_and_Lingual,2,41,17
12163,ctx_rh_S_orbital_lateral,rh_orbital_lateral,2,42,18
12164,ctx_rh_S_orbital_med-olfact,rh_orbital_med-olfact-H,2,43,19
12165,ctx_rh_S_orbital-H_Shaped,rh_orbital_med-olfact-H,2,43,19
12166,ctx_rh_S_parieto_occipital,rh_parieto_occipital,1,28,4
12167,ctx_rh_S_pericallosal,rh_pericallosal,1,29,5
12168,ctx_rh_S_postcentral,rh_postcentral,2,44,20
12169,ctx_rh_S_precentral-inf-part,rh_precentral,2,45,21
12170,ctx_rh_S_precentral-sup-part,rh_precentral,2,45,21
12171,ctx_rh_S_suborbital,rh_suborbital,2,46,22
12172,ctx_rh_S_subparietal,rh_subparietal,2,47,23
12173,ctx_rh_S_temporal_inf,rh_temporal,2,48,24
12174,ctx_rh_S_temporal_sup,rh_temporal,2,48,24
12175,ctx_rh_S_temporal_transverse,rh_temporal,2,48,24